ticker,weights
AAPL,0.11616
MSFT,0.09835
AMZN,0.05132
NVDA,0.04211
META,0.03511
TSLA,0.03171
AVGO,0.03085
GOOGL,0.02744
GOOG,0.02719
PEP,0.02162
COST,0.02042
ADBE,0.01969
CSCO,0.0177
NFLX,0.01568
AMD,0.01474
CMCSA,0.01472
TMUS,0.01395
TXN,0.01381
INTC,0.01171
QCOM,0.01147
HON,0.01146
INTU,0.01138
AMGN,0.01035
ISRG,0.00973
SBUX,0.00973
AMAT,0.00945
BKNG,0.00891
MDLZ,0.00831
GILD,0.0083
ADP,0.0081
ADI,0.00794
VRTX,0.0077
LRCX,0.00691
PYPL,0.00672
REGN,0.00654
PANW,0.00615
MU,0.00593
SNPS,0.0057
CDNS,0.00546
CSX,0.00545
KLAC,0.00519
FTNT,0.00506
ABNB,0.00506
MELI,0.00506
ASML,0.00502
MNST,0.00502
CHTR,0.0049
MAR,0.0049
ORLY,0.0048
NXPI,0.00457
MRVL,0.0045
CTAS,0.00426
DXCM,0.00418
MCHP,0.00404
MRNA,0.00398
LULU,0.00386
PDD,0.00383
WDAY,0.00383
IDXX,0.0038
PCAR,0.00379
KDP,0.00377
AEP,0.00374
ADSK,0.00371
KHC,0.00368
PAYX,0.00367
CPRT,0.00359
ODFL,0.00357
ON,0.00352
EXC,0.00349
AZN,0.00339
BIIB,0.00331
ROST,0.00316
GEHC,0.0031
TTD,0.00309
EA,0.00308
CSGP,0.00306
SGEN,0.00301
XEL,0.00296
BKR,0.00296
GFS,0.00288
CTSH,0.0028
VRSK,0.0028
CRWD,0.00279
DLTR,0.00276
FAST,0.00274
DDOG,0.00269
WBD,0.0026
CEG,0.00259
ILMN,0.00249
ANSS,0.00244
SIRI,0.00226
TEAM,0.00219
WBA,0.00217
EBAY,0.00213
ALGN,0.00213
FANG,0.00211
ENPH,0.00201
ZS,0.00178
ZM,0.00147
JD,0.00139
LCID,0.00129